VJ.combi,count.seq,mouseID,analysis_type,filename,path
IGHV2-9_IGHJ4*01_36_1,2,m13,all_YFP,m13_all_YFP_IGHV2-9_IGHJ4-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV2-9_IGHJ4-01_36_1.aln.fasta
IGHV2-9_IGHJ4*01_36_2,2,m13,all_YFP,m13_all_YFP_IGHV2-9_IGHJ4-01_36_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV2-9_IGHJ4-01_36_2.aln.fasta
IGHV1S108*01-NA_IGHJ3*01_18_1,2,m13,all_YFP,m13_all_YFP_IGHV1S108-01-NA_IGHJ3-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1S108-01-NA_IGHJ3-01_18_1.aln.fasta
IGHV2-9_IGHJ2*01_36_1,2,m13,all_YFP,m13_all_YFP_IGHV2-9_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV2-9_IGHJ2-01_36_1.aln.fasta
IGHV1-26*01_IGHJ4*01_42_4,3,m13,all_YFP,m13_all_YFP_IGHV1-26-01_IGHJ4-01_42_4,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-26-01_IGHJ4-01_42_4.aln.fasta
IGHV1-26*01_IGHJ4*01_42_1,3,m13,all_YFP,m13_all_YFP_IGHV1-26-01_IGHJ4-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-26-01_IGHJ4-01_42_1.aln.fasta
IGHV1-42*01_IGHJ3*01_39_1,3,m13,all_YFP,m13_all_YFP_IGHV1-42-01_IGHJ3-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-42-01_IGHJ3-01_39_1.aln.fasta
IGHV1-53*01_IGHJ3*01_42_3,3,m13,all_YFP,m13_all_YFP_IGHV1-53-01_IGHJ3-01_42_3,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-53-01_IGHJ3-01_42_3.aln.fasta
IGHV1-85*01_IGHJ3*01_45_1,3,m13,all_YFP,m13_all_YFP_IGHV1-85-01_IGHJ3-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1-85-01_IGHJ3-01_45_1.aln.fasta
IGHV9-3*01_IGHJ2*01_39_5,3,m13,all_YFP,m13_all_YFP_IGHV9-3-01_IGHJ2-01_39_5,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV9-3-01_IGHJ2-01_39_5.aln.fasta
