VJ.combi,count.seq,mouseID,analysis_type,filename,path
IGHV2-9_IGHJ2*01_45_1,2,m30,pos_YFP,m30_pos_YFP_IGHV2-9_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV2-9_IGHJ2-01_45_1.aln.fasta
IGHV1-62_IGHJ4*01_42_1,2,m30,pos_YFP,m30_pos_YFP_IGHV1-62_IGHJ4-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-62_IGHJ4-01_42_1.aln.fasta
IGHV1-78*01_IGHJ2*02_18_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-78-01_IGHJ2-02_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-78-01_IGHJ2-02_18_1.aln.fasta
IGHV5-17*01_IGHJ3*01_18_1,3,m30,pos_YFP,m30_pos_YFP_IGHV5-17-01_IGHJ3-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV5-17-01_IGHJ3-01_18_1.aln.fasta
IGHV1-72*01_IGHJ2*01_36_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-72-01_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-72-01_IGHJ2-01_36_1.aln.fasta
IGHV5-17*01_IGHJ3*01_43_1,3,m30,pos_YFP,m30_pos_YFP_IGHV5-17-01_IGHJ3-01_43_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV5-17-01_IGHJ3-01_43_1.aln.fasta
IGHV1-39*01_IGHJ4*01_42_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-39-01_IGHJ4-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-39-01_IGHJ4-01_42_1.aln.fasta
IGHV6-3*01_IGHJ4*01_54_2,3,m30,pos_YFP,m30_pos_YFP_IGHV6-3-01_IGHJ4-01_54_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV6-3-01_IGHJ4-01_54_2.aln.fasta
IGHV2-3*01_IGHJ4*01_48_1,3,m30,pos_YFP,m30_pos_YFP_IGHV2-3-01_IGHJ4-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV2-3-01_IGHJ4-01_48_1.aln.fasta
IGHV1-26*01_IGHJ2*01_45_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-26-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-26-01_IGHJ2-01_45_1.aln.fasta
IGHV1-7*01_IGHJ4*01_36_1,3,m30,pos_YFP,m30_pos_YFP_IGHV1-7-01_IGHJ4-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV1-7-01_IGHJ4-01_36_1.aln.fasta
IGHV6-6*01_IGHJ4*01_33_1,3,m30,pos_YFP,m30_pos_YFP_IGHV6-6-01_IGHJ4-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/pos_YFP_MIDs/m30_pos_YFP_IGHV6-6-01_IGHJ4-01_33_1.aln.fasta
