VJ.combi,count.seq,mouseID,analysis_type,filename,path
IGHV1-62_IGHJ1*03_42_1,2,m37,neg_YFP,m37_neg_YFP_IGHV1-62_IGHJ1-03_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-62_IGHJ1-03_42_1.aln.fasta
IGHV2-9_IGHJ2*01_36_1,2,m37,neg_YFP,m37_neg_YFP_IGHV2-9_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV2-9_IGHJ2-01_36_1.aln.fasta
IGHV2-9_IGHJ4*01_36_2,2,m37,neg_YFP,m37_neg_YFP_IGHV2-9_IGHJ4-01_36_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV2-9_IGHJ4-01_36_2.aln.fasta
IGHV1-62_IGHJ3*01_42_1,2,m37,neg_YFP,m37_neg_YFP_IGHV1-62_IGHJ3-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-62_IGHJ3-01_42_1.aln.fasta
IGHV5-9_IGHJ2*01_33_1,2,m37,neg_YFP,m37_neg_YFP_IGHV5-9_IGHJ2-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV5-9_IGHJ2-01_33_1.aln.fasta
IGHV1-81*01_IGHJ4*01_48_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-81-01_IGHJ4-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-81-01_IGHJ4-01_48_1.aln.fasta
IGHV6-3*01_IGHJ4*01_45_1,3,m37,neg_YFP,m37_neg_YFP_IGHV6-3-01_IGHJ4-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV6-3-01_IGHJ4-01_45_1.aln.fasta
IGHV6-6*01_IGHJ1*03_48_1,3,m37,neg_YFP,m37_neg_YFP_IGHV6-6-01_IGHJ1-03_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV6-6-01_IGHJ1-03_48_1.aln.fasta
IGHV1-72*01_IGHJ4*01_48_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-72-01_IGHJ4-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-72-01_IGHJ4-01_48_1.aln.fasta
IGHV1-78*01_IGHJ4*01_45_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-78-01_IGHJ4-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-78-01_IGHJ4-01_45_1.aln.fasta
